Time (s),Average BPM
305.020,134.250
305.560,133.516
306.070,134.610
306.566,132.921
307.063,132.231
307.305,136.049
307.762,134.504
308.248,135.235
308.795,140.079
309.288,138.902
309.632,140.713
310.228,131.153
310.732,128.169
311.083,128.660
311.639,128.091
312.195,121.508
312.536,119.832
313.146,119.560
313.722,111.371
314.275,110.892
314.848,109.850
315.460,101.940
316.079,103.350
316.659,104.685
317.268,104.981
317.841,105.695
318.381,107.396
318.897,109.788
319.437,110.867
319.977,112.508
320.507,113.776
321.013,114.758
321.543,114.676
322.073,115.230
322.589,116.300
323.089,119.049
323.609,120.529
324.126,122.430
324.623,123.956
325.093,125.567
325.556,126.003
326.007,126.613
326.460,127.641
326.927,128.682
327.381,129.219
327.841,129.301
328.315,129.218
328.788,129.130
329.258,129.130
329.732,129.559
330.199,130.110
330.666,130.834
331.119,131.889
331.573,133.041
332.023,134.111
332.457,135.461
332.891,136.548
333.325,137.836
333.755,138.681
334.185,139.628
334.609,140.590
335.036,141.914
335.457,142.185
335.881,142.835
336.301,143.397
336.719,143.766
337.136,144.246
337.533,144.391
337.957,145.005
338.368,145.183
338.778,145.813
339.195,146.263
339.603,146.720
340.013,146.898
340.424,146.996
340.831,147.626
341.232,148.001
341.636,148.572
342.036,149.125
342.447,149.506
342.841,150.386
343.242,150.958
343.639,151.438
344.030,151.631
344.427,151.631
344.821,151.727
345.202,150.811
345.593,150.690
345.983,148.844
346.377,146.821
346.781,144.227
347.179,140.422
347.626,139.345
348.096,132.581
348.570,128.480
349.060,124.943
349.629,122.171
350.205,118.817
350.738,118.056
351.252,117.228
351.748,116.828
352.222,118.103
352.702,116.828
353.202,117.463
353.709,117.325
354.215,116.169
354.785,112.342
355.328,110.162
355.868,108.742
356.437,107.357
357.056,104.795
357.626,103.686
358.185,101.950
358.752,101.236
359.381,102.114
360.010,104.090
360.642,105.291
361.215,105.433
361.745,104.602
362.268,102.572
362.785,103.473
363.338,101.294
363.947,98.136
364.725,94.817
365.500,88.525
366.255,86.437
366.947,86.750
367.599,88.061
368.238,89.384
368.834,91.039
369.530,90.007
370.222,88.121
370.881,86.977
371.636,84.864
372.397,84.304
373.096,83.222
373.795,82.254
374.523,83.169
375.281,86.457
375.993,86.553
376.692,86.689
377.281,87.770
